epoch,train_loss,val_loss,val_accuracy,val_f1_macro
1,0.6897276878356934,0.7298858761787415,0.3125,0.23809523809523808
2,0.686103347937266,0.7281903624534607,0.3125,0.23809523809523808
3,0.6873921195665995,0.7190344929695129,0.3125,0.23809523809523808
4,0.6661539912223816,0.7483534514904022,0.3125,0.23809523809523808
5,0.6635032097498575,0.7834261655807495,0.3125,0.23809523809523808
6,0.6883845289548238,0.7614218890666962,0.3125,0.23809523809523808
7,0.6767806092898051,0.7183677554130554,0.625,0.625
8,0.673798394203186,0.7431995868682861,0.375,0.3333333333333333
9,0.6639968395233155,0.7513372898101807,0.375,0.3333333333333333
10,0.6618781646092733,0.7378174662590027,0.625,0.625
11,0.6690153360366822,0.7269114553928375,0.625,0.5636363636363637
12,0.6759298324584961,0.7542568445205688,0.625,0.6190476190476191
13,0.6467495123545329,0.756004273891449,0.5625,0.5607843137254902
14,0.6537445386250814,0.8044473826885223,0.3125,0.23809523809523808
15,0.6708482662836711,0.8271801769733429,0.3125,0.23809523809523808
16,0.6432191014289856,0.7513293027877808,0.6875,0.6761133603238867
17,0.6437702457110087,0.7792419791221619,0.5625,0.5607843137254902
18,0.6513833999633789,0.8509218990802765,0.3125,0.23809523809523808
19,0.638581379254659,0.8889394700527191,0.3125,0.23809523809523808
20,0.6210723082224529,0.9022839665412903,0.375,0.3333333333333333
